soil_moisture_percent,temperature_c,humidity_percent,rainfall_mm,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,wind_speed_m_s,crop_type,crop_yield_ton_per_hectare,ldr_value
43.1,28.7,50.6,1206.4,120.7,34.1,93.9,2.11,Cotton,2.47,263
58.4,27.1,67.9,609.9,35.6,62.8,61.0,2.22,Soybean,2.2,441
62.4,26.8,70.7,545.7,36.8,50.5,58.9,2.08,Soybean,1.81,484
35.3,26.1,60.9,510.2,74.3,24.5,48.0,4.08,Bajra,1.75,775
66.0,19.4,62.5,1217.0,181.2,41.8,65.3,1.41,Maize,4.23,584
70.1,19.1,38.7,606.7,116.4,43.1,42.3,5.19,Wheat,3.8,677
54.8,15.6,94.5,964.2,122.9,49.6,40.3,0.5,Wheat,2.73,221
78.9,27.6,72.9,1285.2,200.4,58.0,89.3,4.58,Rice,6.35,351
71.0,29.5,79.8,1244.9,157.0,58.8,68.8,2.81,Rice,4.73,581
31.1,26.3,62.8,780.1,69.3,29.3,41.9,2.85,Jowar,1.75,465
72.8,30.4,80.9,993.6,142.7,67.6,65.3,2.65,Rice,5.01,319
72.7,25.7,54.9,594.8,158.3,63.2,49.3,4.01,Wheat,3.36,670
73.0,28.4,68.0,1208.8,186.8,64.9,84.2,1.87,Rice,6.09,417
64.8,15.0,68.0,811.1,133.1,41.4,51.5,3.37,Wheat,3.44,456
60.3,24.6,68.4,912.1,46.5,48.7,40.3,3.83,Soybean,2.24,298
74.5,23.5,94.6,1392.1,176.8,49.4,66.5,4.58,Rice,4.69,234
64.5,21.4,69.3,702.9,134.9,49.3,67.0,3.27,Wheat,4.62,421
46.2,30.1,50.4,482.4,52.7,37.2,42.1,3.47,Bajra,2.06,842
44.6,14.0,53.1,241.0,26.1,46.1,34.2,1.65,Chickpea,1.56,772
64.3,30.0,51.4,209.3,42.1,48.9,59.4,2.8,Groundnut,1.49,682
47.2,23.0,64.1,928.5,142.8,47.4,35.7,2.63,Maize,4.91,605
44.0,30.1,65.6,519.6,43.9,35.5,42.3,1.35,Bajra,1.86,490
48.8,28.8,51.3,992.2,92.9,39.1,47.4,5.69,Cotton,2.72,756
59.5,13.9,53.8,314.7,131.2,34.4,59.3,1.12,Wheat,3.89,656
51.5,28.5,73.7,504.6,40.5,58.3,57.8,4.21,Groundnut,2.28,571
76.5,25.7,66.1,839.5,154.4,55.5,48.4,1.04,Maize,5.42,297
37.1,29.5,48.7,680.8,75.8,33.3,62.3,1.79,Jowar,2.28,704
60.9,27.3,80.7,1425.2,177.8,33.0,85.6,4.84,Rice,4.76,57
56.8,19.1,66.7,638.1,120.1,44.0,47.8,0.5,Wheat,4.38,203
54.6,27.1,63.4,1062.8,44.9,63.6,66.4,4.5,Soybean,2.34,443
71.7,26.5,80.5,1484.4,207.8,55.0,75.2,5.02,Rice,6.01,174
79.7,27.3,82.7,1923.2,134.5,62.3,78.0,1.59,Rice,5.13,280
53.0,29.1,57.2,738.0,84.0,35.5,33.9,2.82,Jowar,1.73,928
59.3,29.1,67.0,857.4,36.7,62.2,53.0,0.5,Soybean,2.56,359
73.2,30.2,75.8,2325.1,153.7,47.7,78.4,2.24,Rice,5.07,160
40.8,29.9,37.3,724.9,48.1,26.7,26.0,1.78,Bajra,1.61,756
43.6,17.7,62.1,272.6,31.2,34.0,40.6,4.18,Chickpea,1.8,677
60.8,32.1,57.2,1183.8,163.5,33.2,59.6,3.12,Cotton,2.59,496
56.3,17.2,48.3,444.4,126.6,72.7,48.1,2.96,Wheat,3.57,649
85.4,25.6,76.4,1546.4,211.4,66.9,81.5,6.34,Rice,5.57,443
54.5,12.9,73.3,596.9,137.6,62.7,35.7,4.64,Wheat,3.96,553
52.9,30.7,50.6,572.9,44.9,26.0,45.4,4.52,Bajra,1.6,489
51.4,15.6,50.7,540.5,102.6,39.3,45.0,2.84,Wheat,4.2,640
72.9,26.3,95.3,2437.8,197.2,53.6,102.7,0.5,Rice,4.51,157
32.5,24.5,56.9,304.0,53.6,37.6,35.0,0.57,Jowar,2.04,472
51.6,23.6,66.2,407.6,155.4,43.5,37.3,7.09,Wheat,4.69,592
57.3,30.0,67.7,1112.6,31.9,68.9,56.1,3.29,Soybean,2.12,317
63.9,18.0,46.6,404.3,92.0,35.9,53.2,2.34,Wheat,4.22,848
52.4,14.6,53.4,353.3,24.6,54.0,29.3,2.76,Chickpea,1.6,685
38.1,35.9,60.4,497.1,45.5,11.1,43.0,3.83,Bajra,2.24,599
57.8,12.1,73.0,481.5,115.5,49.1,38.5,2.04,Wheat,3.72,398
37.9,24.8,30.2,286.8,73.1,45.9,54.0,4.24,Jowar,1.82,789
25.3,35.0,36.3,333.0,57.4,25.7,43.0,5.43,Bajra,1.7,460
31.8,28.2,50.3,659.8,132.1,33.2,68.2,1.08,Cotton,2.47,466
43.1,20.5,44.0,593.5,68.8,33.7,46.7,2.75,Jowar,1.56,750
55.0,17.5,62.3,752.4,122.1,49.8,43.3,1.3,Wheat,4.11,208
77.9,31.1,72.8,1431.8,250.0,113.4,213.6,4.4,Sugarcane,8.51,504
62.0,25.7,73.5,1072.2,93.7,44.5,60.3,2.71,Cotton,2.17,140
73.3,26.0,67.1,2225.5,150.5,47.1,108.2,5.01,Rice,4.29,439
66.1,29.8,71.2,1340.0,187.1,46.4,107.4,0.72,Rice,5.73,265
80.8,30.5,62.2,1825.0,176.7,91.3,262.7,5.44,Sugarcane,10.79,525
68.5,28.3,67.2,1205.5,242.0,91.2,236.6,3.52,Sugarcane,10.97,463
85.3,30.7,78.8,1455.8,188.9,67.1,86.9,0.5,Rice,5.51,90
48.6,27.7,59.6,1089.1,49.9,51.3,45.5,3.75,Soybean,2.58,710
60.8,23.7,60.5,456.0,120.6,52.1,35.4,0.5,Wheat,4.02,813
64.9,19.1,37.3,467.4,147.7,51.4,41.6,1.44,Wheat,5.47,740
82.0,30.9,81.4,1934.8,153.3,56.0,81.7,0.5,Rice,5.23,219
64.5,23.6,81.5,1276.0,122.7,50.2,119.0,1.28,Rice,5.01,305
81.3,31.4,76.8,1767.9,151.4,40.2,87.3,5.09,Rice,5.37,156
64.1,14.7,69.2,733.7,125.0,30.0,64.0,1.36,Wheat,3.43,657
49.8,31.2,53.1,376.7,71.0,47.8,38.3,3.28,Jowar,1.84,570
62.5,22.6,80.9,489.8,194.7,58.0,71.8,3.7,Wheat,3.52,419
49.7,24.5,51.0,224.9,28.5,51.7,36.2,4.01,Chickpea,1.46,564
64.0,20.0,72.8,358.9,120.3,61.4,50.8,4.76,Wheat,3.95,409
86.0,28.6,89.6,2500.0,175.5,45.8,80.0,1.14,Rice,4.27,0
23.2,32.2,36.3,315.6,63.8,30.2,32.5,2.38,Jowar,1.97,966
74.1,25.5,82.7,1341.5,197.8,61.6,98.7,5.45,Rice,5.89,290
55.3,22.3,43.6,403.4,30.9,51.3,35.4,4.27,Chickpea,1.76,867
64.5,28.0,66.3,706.0,110.8,44.6,52.7,5.05,Maize,5.03,515
44.3,33.6,48.2,391.6,62.6,26.2,45.7,3.45,Bajra,2.1,580
77.4,22.0,74.9,1174.8,135.0,49.3,49.9,4.73,Maize,3.55,338
83.8,28.9,79.6,2500.0,113.4,60.4,100.3,6.1,Rice,4.21,133
33.6,31.3,54.7,367.5,60.2,23.7,33.9,4.41,Bajra,2.0,645
85.0,25.6,77.0,2203.4,195.0,51.4,101.0,2.67,Rice,5.15,203
43.9,36.4,54.2,348.0,130.2,49.2,75.5,3.36,Cotton,2.13,603
57.4,26.4,70.3,719.2,48.7,52.3,63.6,2.49,Soybean,2.54,266
45.9,27.8,52.7,423.2,124.5,32.2,69.7,1.93,Cotton,2.91,527
73.4,30.2,86.8,1702.3,250.0,52.4,151.3,2.04,Sugarcane,12.0,508
48.2,20.2,72.7,859.4,46.3,67.7,62.6,6.33,Groundnut,1.81,340
46.9,32.0,57.8,724.8,108.1,36.8,61.6,1.44,Cotton,2.93,413
45.9,25.0,51.1,554.6,39.9,76.2,55.9,3.84,Groundnut,2.12,700
69.8,29.3,69.1,1834.6,143.9,45.0,77.8,5.18,Rice,5.17,571
85.6,21.7,88.6,2272.5,143.4,45.1,90.2,1.11,Rice,3.01,0
43.2,27.7,56.1,267.3,64.1,34.0,37.5,4.09,Jowar,1.82,613
31.1,33.9,25.3,359.8,68.3,29.7,37.6,3.63,Bajra,1.95,728
87.4,29.0,87.6,2271.5,197.0,42.0,116.9,2.53,Rice,4.06,0
82.3,26.8,83.0,1777.8,166.5,44.5,101.5,1.11,Rice,5.31,381
43.4,24.3,55.5,259.7,69.0,30.2,37.1,5.44,Jowar,1.42,647
76.0,23.1,76.6,2229.0,126.8,76.7,105.2,2.12,Rice,5.52,272
70.8,30.1,70.3,809.3,163.8,30.3,61.8,3.14,Maize,4.36,352
46.8,20.6,40.5,482.8,34.0,41.7,37.0,6.89,Chickpea,1.75,799
43.8,29.0,48.5,924.7,84.6,36.1,77.6,2.59,Cotton,3.11,539
91.5,30.6,85.5,2500.0,204.9,68.7,203.3,0.9,Sugarcane,8.17,168
51.3,28.6,55.6,452.6,137.3,43.8,58.3,0.64,Maize,5.03,455
25.2,34.6,56.3,458.8,66.1,27.2,43.7,6.02,Bajra,1.66,433
83.1,26.5,81.7,841.7,169.5,62.3,82.6,4.55,Rice,5.73,585
55.5,26.8,69.2,507.6,24.2,52.5,49.0,3.0,Soybean,2.06,437
73.1,28.7,75.6,1630.0,195.9,47.0,163.5,2.32,Rice,5.66,376
68.8,28.0,59.4,1243.5,127.2,40.3,60.2,1.25,Maize,4.09,493
52.3,18.7,68.5,874.6,134.5,34.5,42.2,3.75,Wheat,4.0,406
32.2,32.2,55.1,557.9,61.3,27.1,47.2,2.63,Bajra,1.87,539
35.9,31.2,52.5,163.9,61.3,22.9,49.6,2.56,Bajra,1.93,781
72.9,22.6,73.0,1194.1,154.2,78.0,102.5,3.53,Rice,4.64,353
70.9,25.2,66.3,1845.2,216.0,33.7,188.4,2.73,Sugarcane,9.17,348
53.5,33.8,48.7,691.1,136.8,26.7,62.8,1.52,Cotton,2.58,653
62.0,24.7,47.1,367.0,102.9,46.5,55.8,4.74,Wheat,3.85,880
45.9,30.0,60.6,385.9,62.4,30.9,51.5,3.09,Jowar,2.33,703
52.7,21.6,71.9,258.8,47.3,73.3,67.5,1.35,Soybean,1.63,585
62.0,24.3,67.3,798.4,42.1,62.0,49.7,6.04,Soybean,2.25,406
51.7,18.3,62.2,755.1,120.0,44.9,49.2,3.0,Wheat,4.28,325
77.2,36.1,73.0,1853.6,171.0,88.6,205.5,3.98,Sugarcane,7.99,470
58.3,28.6,76.5,654.3,39.0,58.0,56.4,3.57,Soybean,2.01,590
75.7,30.1,82.2,1218.2,245.5,92.0,252.4,3.78,Sugarcane,10.18,309
54.8,16.8,45.3,970.9,161.9,48.5,40.7,0.93,Wheat,4.38,725
68.5,31.1,65.0,525.7,30.8,58.0,69.9,4.66,Soybean,2.0,667
73.7,16.2,58.9,524.8,98.0,35.3,54.2,4.06,Wheat,4.05,722
72.9,24.6,71.7,1413.6,250.0,89.2,228.4,4.85,Sugarcane,9.77,526
62.4,29.7,66.4,748.2,37.2,55.2,64.1,4.73,Groundnut,2.21,436
63.1,27.4,70.2,842.6,81.1,34.0,64.8,2.5,Cotton,2.22,700
77.5,28.7,71.0,1777.6,154.7,49.1,72.5,3.69,Rice,6.14,152
64.3,22.2,70.6,1142.9,35.7,49.8,64.2,4.3,Soybean,2.1,558
62.6,19.1,52.2,383.8,157.7,58.5,30.9,4.95,Wheat,4.05,737
84.4,28.5,81.3,2256.3,232.0,60.4,68.7,2.14,Rice,5.27,367
59.1,14.6,57.9,635.3,118.0,47.3,54.0,6.3,Wheat,3.58,878
68.5,18.3,62.2,673.8,157.6,45.1,37.7,0.92,Wheat,4.31,779
59.0,21.8,64.0,282.2,171.1,53.3,56.9,1.66,Wheat,4.16,407
91.2,29.3,89.7,1716.3,146.0,49.7,102.0,0.5,Rice,4.72,0
72.9,24.2,69.5,860.2,42.6,62.9,41.8,3.98,Soybean,2.02,595
65.5,20.7,58.0,555.3,98.6,50.5,54.4,2.42,Wheat,4.82,439
68.7,22.8,64.1,601.1,111.8,50.2,42.2,2.76,Wheat,3.91,542
48.3,34.8,49.4,750.7,97.6,44.5,86.9,3.26,Cotton,2.62,767
58.5,22.5,52.6,527.0,125.7,47.6,67.3,2.46,Maize,4.94,385
69.8,25.6,73.5,1446.4,187.3,57.9,76.6,6.52,Rice,4.86,39
82.6,31.0,76.5,2333.7,250.0,87.3,180.6,1.04,Sugarcane,9.74,292
55.6,12.5,72.4,744.1,97.4,50.7,40.9,6.46,Wheat,3.87,467
55.2,16.6,54.9,631.2,158.2,69.6,58.7,2.81,Wheat,5.19,572
85.6,28.9,77.2,1376.2,164.0,55.4,118.6,4.06,Rice,6.07,354
62.9,18.3,64.9,611.9,131.5,57.7,50.5,5.23,Wheat,3.86,403
44.3,19.9,59.9,763.7,42.1,64.5,75.0,2.51,Groundnut,1.83,321
59.6,15.3,51.2,193.1,160.6,27.7,44.0,2.2,Wheat,3.61,663
72.6,24.6,62.5,1013.2,143.9,49.9,49.5,4.66,Maize,4.86,353
81.9,33.9,79.8,1874.3,181.8,49.6,90.1,2.85,Rice,3.8,22
40.3,29.0,43.6,484.8,37.4,59.4,66.3,0.5,Groundnut,2.14,787
62.5,18.9,74.9,623.8,61.2,51.1,44.6,3.54,Wheat,4.91,447
63.1,23.9,67.2,469.8,123.1,62.0,48.3,3.2,Wheat,4.25,599
48.9,18.1,43.5,417.4,35.8,49.9,40.6,4.13,Chickpea,1.67,563
62.6,25.5,68.7,957.8,44.8,43.3,65.0,3.46,Soybean,2.36,360
25.6,29.2,55.8,444.4,59.1,25.6,39.1,3.62,Jowar,2.0,472
82.4,21.0,61.1,1638.8,154.6,46.4,49.0,5.19,Maize,3.5,298
82.5,25.7,73.9,1473.5,172.9,62.9,193.0,1.34,Sugarcane,9.9,390
52.4,28.6,76.0,743.8,47.2,59.1,49.9,2.64,Soybean,2.41,311
54.3,16.1,45.3,516.0,152.3,24.4,60.3,1.38,Wheat,4.45,749
56.1,30.8,59.0,803.8,51.1,58.9,71.4,3.58,Groundnut,1.84,610
78.4,22.1,79.9,534.0,197.4,39.3,73.7,3.18,Maize,3.96,743
84.0,28.3,80.6,1562.7,189.5,46.7,92.3,2.56,Rice,5.96,88
45.2,30.3,59.7,843.5,39.9,41.7,74.4,5.16,Groundnut,2.02,685
66.4,29.9,83.1,1541.8,162.7,55.3,66.2,4.54,Rice,5.99,276
84.8,27.7,91.4,1518.0,207.2,42.6,86.3,2.71,Rice,5.62,240
73.9,29.4,75.2,1233.2,153.7,64.0,75.7,6.23,Rice,5.42,154
90.0,32.2,81.5,611.3,199.5,52.8,76.5,4.75,Rice,3.67,336
53.2,23.5,72.5,516.5,99.0,51.6,48.9,0.51,Wheat,3.89,604
49.3,35.1,48.5,573.1,60.3,32.6,38.7,3.79,Jowar,1.46,652
38.7,18.3,46.7,257.7,31.4,55.5,22.9,4.15,Chickpea,1.9,725
57.4,26.6,65.0,492.1,74.1,45.3,47.9,2.96,Wheat,4.1,505
47.8,16.6,48.4,291.5,20.0,40.8,23.9,3.31,Chickpea,1.62,876
37.9,35.5,37.4,416.5,78.9,37.4,38.2,2.98,Bajra,1.8,752
56.8,23.7,63.1,731.0,115.7,65.4,39.2,0.5,Wheat,4.41,194
59.9,25.1,65.6,982.0,29.6,62.7,54.3,0.92,Groundnut,1.78,376
34.1,19.8,41.7,304.5,28.5,26.0,30.1,2.85,Chickpea,1.55,434
62.3,35.6,51.1,538.2,130.3,43.0,65.4,3.92,Cotton,1.88,146
77.8,29.1,77.2,1743.2,199.2,92.1,176.9,0.5,Sugarcane,12.0,225
79.2,23.9,78.7,1984.6,150.1,64.0,113.6,3.19,Rice,4.91,479
73.3,30.6,78.9,1451.0,223.0,61.8,161.7,3.97,Sugarcane,9.75,335
44.3,24.8,68.9,498.7,32.9,51.7,69.3,2.37,Groundnut,1.72,337
52.1,25.0,59.2,624.3,131.9,38.5,54.2,4.18,Wheat,3.13,433
85.7,25.6,69.7,1552.9,102.3,55.8,82.3,0.5,Rice,4.8,556
73.7,33.9,78.5,1579.3,204.7,59.1,72.1,3.62,Rice,6.09,341
91.6,26.3,84.2,2002.8,173.3,49.7,68.5,0.5,Rice,4.26,246
42.0,16.6,52.5,196.3,35.1,51.2,29.0,0.96,Chickpea,1.55,671
62.8,27.2,74.9,1552.3,39.0,42.3,43.4,2.97,Soybean,1.96,350
51.4,27.8,62.6,812.0,149.4,47.9,42.4,2.3,Maize,5.47,653
63.8,30.6,67.4,938.9,182.6,49.9,53.6,0.75,Maize,4.77,560
50.3,29.2,60.9,350.2,40.5,46.3,55.1,3.96,Groundnut,1.87,633
46.5,21.8,39.0,429.7,25.5,36.9,38.6,2.97,Chickpea,1.98,582
41.5,26.2,43.6,615.3,56.4,27.1,30.6,2.08,Jowar,1.81,773
64.1,20.3,58.7,491.2,130.0,52.7,41.0,2.37,Wheat,4.4,493
89.0,30.3,85.0,1949.0,173.7,44.4,66.1,3.54,Rice,5.03,409
56.0,15.3,65.2,313.6,103.0,46.4,55.6,4.3,Wheat,4.35,374
63.8,31.1,40.3,655.8,39.2,58.5,64.9,3.1,Soybean,1.91,690
45.6,31.1,39.6,425.9,60.9,38.0,42.0,5.38,Bajra,2.22,739
38.0,14.9,41.7,43.5,34.7,43.8,35.5,1.8,Chickpea,1.41,560
43.2,21.3,64.3,248.2,26.1,49.3,31.4,3.66,Chickpea,2.04,853
64.5,25.5,66.8,871.2,111.8,58.6,46.9,3.75,Maize,5.34,714
69.9,28.0,88.9,1424.7,90.0,45.2,88.9,2.09,Rice,5.98,194
66.5,25.8,67.6,1316.2,37.3,70.9,56.6,4.65,Soybean,2.01,545
59.6,23.9,57.6,865.5,149.8,54.1,39.0,0.5,Wheat,3.62,619
34.0,35.7,53.5,548.5,52.5,31.7,36.3,4.8,Bajra,1.73,226
59.8,18.4,64.0,720.6,119.0,53.5,33.8,2.75,Wheat,4.78,568
61.1,26.6,60.0,767.0,119.4,51.5,60.3,3.21,Maize,6.27,545
76.0,25.8,75.3,1318.9,183.9,54.5,73.9,0.5,Rice,5.94,381
51.8,16.7,59.0,749.3,30.4,50.0,33.2,4.4,Chickpea,1.42,397
45.0,35.3,62.1,1040.7,115.0,32.3,83.6,2.33,Cotton,2.69,461
35.7,31.5,48.6,573.0,88.3,36.2,38.4,6.64,Jowar,2.11,636
48.8,21.0,54.6,259.8,33.8,49.9,24.8,2.8,Chickpea,1.81,842
39.9,32.4,53.0,462.0,101.8,44.4,66.4,5.28,Cotton,2.68,697
71.7,25.9,82.3,1230.4,128.0,48.3,48.0,0.5,Rice,5.8,328
42.6,27.6,51.4,217.0,70.5,29.8,29.3,5.24,Jowar,1.97,922
83.9,24.1,71.3,1453.4,141.5,59.6,85.4,4.7,Rice,5.41,295
47.8,19.4,60.2,318.7,166.2,44.4,34.2,2.07,Wheat,4.85,549
59.0,26.0,63.3,1311.5,37.2,61.1,69.1,2.03,Soybean,2.01,178
47.8,23.4,68.0,553.5,108.9,59.1,45.1,2.28,Wheat,4.72,762
61.8,22.3,53.1,616.1,162.8,48.6,40.7,0.5,Wheat,4.94,775
72.1,32.8,73.4,882.3,225.0,35.4,112.9,3.84,Rice,4.54,578
73.9,29.8,71.7,2044.2,165.6,113.0,195.6,5.83,Sugarcane,9.47,415
52.3,23.5,47.2,221.6,114.0,54.7,41.1,5.51,Wheat,4.16,730
66.3,25.1,68.1,913.6,61.4,51.5,44.2,5.14,Soybean,2.47,506
61.4,31.4,64.3,876.3,163.0,52.3,37.0,3.73,Maize,5.79,468
73.1,31.5,84.9,2130.9,165.3,47.9,83.6,4.31,Rice,4.27,192
28.0,32.9,42.8,336.4,57.8,32.7,30.1,5.14,Bajra,2.11,738
23.4,30.5,44.3,257.7,68.5,28.1,36.4,4.99,Bajra,1.98,962
36.2,33.7,63.4,225.5,70.3,35.1,21.2,4.77,Jowar,1.58,682
61.5,32.9,76.5,888.4,36.5,74.9,61.6,2.16,Groundnut,1.95,402
40.3,28.3,52.6,320.9,55.8,26.7,40.7,6.89,Bajra,1.74,575
41.9,30.0,62.8,406.9,67.9,28.4,32.5,3.71,Jowar,2.33,480
79.0,23.7,80.1,1420.9,141.1,70.4,86.2,3.04,Rice,5.05,571
46.1,30.6,52.6,567.1,57.7,27.7,54.0,4.83,Bajra,1.72,714
83.8,28.6,83.0,1931.0,136.4,60.2,84.3,3.94,Rice,5.9,263
42.0,28.8,50.4,561.3,48.0,39.7,36.0,5.54,Jowar,1.97,599
46.1,22.1,54.4,656.7,158.7,43.9,59.5,4.08,Wheat,4.41,439
72.9,27.2,76.8,1216.9,195.0,67.6,84.6,3.78,Rice,5.27,359
92.0,25.3,83.6,1775.1,153.8,77.1,56.5,6.09,Rice,4.63,399
66.9,21.8,60.4,517.5,93.0,41.7,52.8,4.05,Wheat,4.5,522
66.7,22.3,72.3,441.4,93.4,59.3,48.5,2.02,Maize,4.11,464
78.0,22.9,84.7,1262.0,157.1,72.5,97.8,0.5,Rice,6.38,275
55.7,28.7,60.2,960.7,46.6,73.4,48.8,2.91,Soybean,2.38,545
51.8,27.6,54.6,538.9,138.9,36.1,45.0,5.8,Cotton,2.26,377
56.4,26.1,54.1,809.2,40.3,54.7,78.0,4.23,Groundnut,2.42,558
